CustomerID,Recency,Frequency,Monetary
619651,92,0.25,23750
245517,31,0.33,31666
436604,31,0.2,19000
300422,31,0.17,12500
769641,31,0.25,23750
1012271,31,0.5,37500
909140,31,0.25,28750
275581,92,0.17,14166
966956,31,0.25,23750
343309,31,0.17,12500
279937,92,0.17,14166
951589,31,0.25,23750
690138,62,0.25,18750
1011258,92,0.25,26250
260634,31,0.33,33333
799113,31,0.25,22500
446777,31,0.2,19000
903741,92,0.25,18750
599667,31,0.2,15000
716846,62,0.25,21250
980247,62,0.25,18750
242235,62,0.17,19166
550627,92,0.2,19000
1014308,92,0.25,18750
960617,62,0.25,18750
960928,31,0.25,26250
587832,31,0.2,19000
675871,92,0.25,18750
582927,92,0.2,14000
359789,62,0.17,14166
866222,15,0.75,59365
377875,31,0.4,34000
560087,31,0.4,30000
617089,31,0.25,23750
823209,92,0.25,26250
915528,92,0.25,18750
537677,62,0.4,29000
511318,92,0.2,19000
400292,92,0.2,18000
430020,92,0.2,15000
664287,92,0.25,18750
1043441,92,0.33,25000
701366,62,0.25,26250
267023,62,0.17,17500
563575,62,0.2,15000
437657,31,0.2,17000
673478,62,0.25,18750
863361,92,0.25,28750
219690,62,0.17,17500
887018,62,0.25,17500
532185,92,0.2,21000
701263,31,0.25,26250
234719,92,0.17,14166
989489,62,0.25,23750
686688,92,0.25,18750
752946,31,0.25,18750
371029,31,0.2,14000
594629,92,0.2,15000
407687,92,0.2,19000
808316,31,0.25,23750
505376,31,0.2,19000
965495,31,0.5,47500
1032674,62,0.25,18750
867970,62,0.25,21250
887373,31,0.25,26250
972550,31,0.25,23750
273658,31,0.33,25000
480826,31,0.2,19000
783630,92,0.25,21250
651472,92,0.25,18750
956663,31,0.25,26250
866586,62,0.25,23750
739426,92,0.25,20000
259063,62,0.17,16666
283008,92,0.17,12500
1040406,62,0.33,35000
810849,31,0.25,23750
584744,31,0.4,30000
872983,62,0.25,18750
391385,92,0.2,16000
712172,31,0.25,22500
783983,31,0.25,31250
807546,92,0.25,18750
637917,92,0.25,18750
849725,92,0.25,23750
667640,31,0.5,47500
935189,92,0.25,23750
357556,92,0.17,12500
520844,31,0.2,19000
529981,92,0.2,15000
233010,31,0.17,15833
390418,92,0.2,14000
284639,62,0.17,24166
830898,62,0.25,23750
1045095,62,0.33,31666
142528,92,0.14,13571
710616,92,0.25,21250
607664,31,0.4,34636
405569,62,0.2,14000
894179,62,0.25,23750
147916,31,0.29,34610
1012986,62,0.25,18750
793002,31,0.25,21250
799322,92,0.25,23750
984515,31,0.25,22500
963541,92,0.25,18750
174816,62,0.14,12142
788517,31,0.25,31250
362601,31,0.17,14166
1047962,92,0.33,35000
527334,31,0.2,10000
624773,31,0.5,37500
334874,62,0.17,15833
581062,62,0.2,19000
222399,31,0.17,14166
793439,92,0.25,26250
241349,31,0.33,26666
442838,31,0.4,38000
640290,92,0.25,18750
809432,92,0.25,18750
815945,31,0.5,42500
795024,92,0.25,26250
349943,31,0.17,12500
552458,62,0.2,15000
524047,62,0.2,19000
219386,92,0.17,17500
893540,31,0.25,28750
655967,62,0.25,28750
561101,31,0.2,14000
760228,31,0.25,21250
815353,62,0.25,33750
564551,92,0.2,15000
678874,92,0.25,18750
990264,62,0.25,18750
406089,62,0.2,15000
394984,92,0.2,13000
740227,92,0.25,18750
1024660,92,0.25,36250
1015045,62,0.25,23750
547423,62,0.2,12000
881231,62,0.25,23750
410388,62,0.2,14000
747413,92,0.25,21250
820959,62,0.25,23750
347212,92,0.17,11666
172140,92,0.14,10714
227237,31,0.17,457
919017,62,0.25,26250
905302,92,0.25,18750
460025,92,0.2,15000
463521,92,0.2,15000
328981,62,0.17,14166
828838,62,0.25,21250
436525,31,0.2,19000
826859,62,0.25,23750
389922,31,0.2,14000
988017,62,0.25,18750
1025688,31,0.25,18750
256130,31,0.17,14166
613370,62,0.25,18750
507328,31,0.2,21000
278923,92,0.17,12500
304660,92,0.17,23863
181225,62,0.14,15000
915940,62,0.25,33750
951929,62,0.5,62045
560303,31,0.2,19000
425599,62,0.2,15000
853931,31,0.25,23750
387605,31,0.2,14000
168498,92,0.14,12142
1045277,92,0.33,30000
696139,92,0.25,41250
654032,62,0.25,18750
515493,62,0.2,15000
455585,62,0.2,21000
966043,31,0.25,23750
881246,31,0.25,18750
957463,92,0.25,23750
408571,31,0.2,14000
531891,92,0.2,8000
649356,31,0.5,37500
866868,92,0.25,17500
384691,62,0.2,17000
361943,31,0.17,14166
980433,92,0.25,18750
997606,62,0.25,23750
504382,31,0.2,25000
945806,31,0.25,18750
1015530,62,0.25,18750
248073,62,0.33,38181
884274,31,0.5,47500
339763,62,0.17,12500
955782,62,0.25,23750
666876,31,0.25,21250
351374,62,0.17,10000
557989,62,0.2,15000
310306,31,0.17,12500
1033005,92,0.25,18750
650718,62,0.25,17500
735066,92,0.25,21250
476922,62,0.2,14000
486439,31,0.2,19000
1014009,62,0.25,23750
489463,92,0.2,17000
990649,31,0.25,18750
521203,92,0.2,17000
254681,62,0.17,14166
940238,31,0.25,18750
313343,92,0.17,17500
491545,31,0.4,28000
574861,92,0.2,19000
365354,31,0.2,17000
991656,31,0.5,47500
574373,31,0.2,15000
478546,31,0.2,31818
911226,92,0.25,26250
512991,62,0.2,15000
761534,62,0.25,17500
397198,31,0.4,34000
639766,92,0.25,18750
128457,92,0.14,8571
768229,92,0.25,31250
800240,92,0.25,23750
675076,92,0.25,23750
725543,92,0.25,21250
661809,31,0.5,37500
1014072,31,0.25,18750
682266,92,0.25,18750
955168,92,0.25,18750
989612,31,0.25,18750
292333,92,0.17,19166
533534,92,0.2,21000
653242,62,0.25,17500
141745,31,0.14,23571
859304,62,0.25,39772
1017961,92,0.25,18750
347491,92,0.17,14166
693162,92,0.25,28750
855991,92,0.25,23750
667405,92,0.25,18750
644477,31,0.5,42500
540290,62,0.2,20000
903470,31,0.25,18750
1034556,31,0.5,37500
666547,62,0.5,63522
549118,31,0.4,46818
150465,62,0.14,14155
871857,62,0.25,23750
947349,31,0.25,28750
612255,62,0.25,23750
612874,62,0.25,18750
841310,92,0.25,15000
992684,31,0.25,18750
328458,92,0.17,17500
426100,92,0.2,15000
698774,31,0.25,27500
847465,92,0.25,17500
281461,92,0.17,21212
506636,62,0.2,19000
606468,92,0.2,14000
101107,92,0.14,7142
179352,92,0.14,10714
676454,31,0.25,18750
806581,31,0.25,5000
798451,62,0.25,21250
951570,62,0.25,18750
935230,92,0.25,18750
907334,31,0.25,21250
828619,92,0.25,18750
100431,31,0.29,36039
313796,31,0.17,14166
929722,31,0.5,31250
264663,31,0.17,12500
588088,31,0.2,15000
234620,92,0.17,13333
970076,92,0.25,26250
992407,62,0.25,23750
395700,92,0.2,11000
779036,92,0.25,18750
1038544,31,0.33,25000
397473,92,0.2,24000
198515,92,0.17,22500
999857,92,0.25,23750
522791,31,0.2,15000
765283,31,0.25,18750
607865,62,0.2,15000
495122,92,0.2,15000
735388,62,0.25,21250
839388,62,0.25,22500
216436,92,0.17,21212
198129,31,0.33,31666
595023,31,0.2,19000
830326,62,0.25,18750
1047764,92,0.33,25000
949839,92,0.25,23750
658055,92,0.25,18750
1007864,92,0.25,23750
588012,92,0.2,15000
940317,92,0.25,33750
732040,92,0.25,30000
178050,62,0.14,17857
698456,31,0.5,62500
948562,92,0.25,18750
880447,31,0.25,23750
619829,31,0.25,17500
663814,92,0.25,18750
321543,62,0.17,12500
181005,62,0.14,15000
754916,92,0.25,18750
418948,92,0.2,20000
889317,31,0.5,47500
720068,62,0.25,33750
997622,31,0.5,37500
1019956,31,0.25,26250
859152,62,0.25,28750
300267,31,0.17,14166
586760,62,0.2,15000
941988,31,0.25,18750
877825,92,0.25,18750
304976,62,0.17,15833
518731,92,0.2,19000
549130,62,0.2,15000
281057,62,0.17,15000
233809,12,0.17,13257
657276,92,0.25,18750
354707,62,0.17,14166
826930,31,0.25,22500
368601,31,0.4,43636
445544,62,0.2,17000
1046166,62,0.33,23333
374091,92,0.2,19000
649283,62,0.25,18750
376780,62,0.2,20000
311946,31,0.17,12500
532975,31,0.2,15000
313115,62,0.17,12500
341630,62,0.17,12500
457204,92,0.2,19000
610134,92,0.25,28750
1018447,31,0.5,37500
991075,31,0.25,18750
781473,92,0.25,18750
847413,92,0.25,18750
172215,31,0.14,12142
551169,62,0.2,14000
624118,92,0.25,23750
577294,31,0.2,19000
664012,92,0.25,23750
301792,92,0.17,17500
745720,92,0.25,22500
422556,92,0.2,13000
624236,31,0.5,37500
579717,62,0.2,17000
674053,31,0.25,23750
429977,92,0.2,15000
923396,31,0.25,18750
1031546,31,0.25,18750
324439,31,0.33,31666
481228,31,0.4,30000
281499,31,0.17,12500
408017,62,0.2,15000
701819,92,0.25,26250
290611,31,0.33,25000
263741,92,0.17,11666
342523,31,0.33,45000
430610,92,0.2,19000
818341,92,0.25,23750
932182,92,0.25,26250
442531,31,0.2,13000
440649,92,0.2,17000
936869,62,0.25,17500
392179,62,0.2,13000
807530,31,0.5,71022
390617,31,0.2,20000
308209,31,0.17,14166
653365,62,0.25,18750
816223,31,0.5,35000
216360,31,0.17,15833
848668,31,0.25,16451
72052,31,0.14,20714
542338,92,0.2,23000
670466,31,0.25,23750
587857,31,0.2,14000
501795,62,0.2,19000
223627,92,0.17,15833
788566,92,0.25,21250
560065,62,0.2,14000
963670,92,0.25,18750
716979,31,0.25,18750
141690,92,0.14,15000
358386,92,0.17,20833
747304,31,0.25,25000
496998,92,0.2,25000
864759,92,0.25,26250
1010074,62,0.25,21250
224041,92,0.17,14166
665339,92,0.25,18750
346163,31,0.17,14166
245229,31,0.17,15833
211790,31,0.17,17500
960150,31,0.25,18750
764478,92,0.25,26250
840634,62,0.25,21250
928785,31,0.25,28750
1043176,31,0.33,35000
851307,31,0.25,22500
894632,92,0.25,23750
257651,92,0.17,17500
549468,92,0.2,15000
493487,31,0.4,54818
862742,31,0.25,23750
850674,92,0.25,23750
401410,92,0.2,21000
438099,62,0.2,17000
341071,31,0.17,14166
652711,31,0.25,23750
726883,92,0.25,20000
968384,31,0.25,23750
562820,31,0.2,15000
972826,92,0.25,18750
679531,31,0.25,18750
974071,92,0.25,23750
797998,62,0.25,20000
936562,31,0.25,18750
1006004,92,0.25,17500
485667,92,0.2,15000
338042,31,0.33,26666
884133,92,0.25,23750
341140,62,0.17,26515
838881,92,0.25,23750
596708,92,0.2,15000
167029,62,0.14,8571
655290,31,0.25,18750
978171,92,0.25,7500
619192,92,0.25,23750
748882,92,0.25,21250
1035909,92,0.25,18750
311886,31,0.17,12500
602597,62,0.2,19000
408629,31,0.2,17000
612479,92,0.25,18750
945935,92,0.25,17500
450039,31,0.4,58818
646898,92,0.25,18750
293625,92,0.17,11666
631613,62,0.25,18750
849141,62,0.25,21250
562888,92,0.2,13000
539435,31,0.2,15000
888831,92,0.25,26250
630772,62,0.25,23750
952338,31,0.5,37500
501879,62,0.2,15000
496673,62,0.2,17000
860488,31,0.5,35000
376744,31,0.2,17000
915755,31,0.5,37500
394507,31,0.4,38000
339510,92,0.17,14166
530952,31,0.2,25000
670564,31,0.5,47500
545758,62,0.2,19000
775793,92,0.25,18750
881220,62,0.25,23750
380277,92,0.2,15000
765375,92,0.25,21250
957248,92,0.25,17500
803463,92,0.25,18750
1033846,62,0.25,18750
505502,92,0.2,17000
915693,92,0.25,18750
236443,92,0.17,17500
335379,62,0.17,12500
741267,62,0.25,18750
1032500,92,0.25,17500
990801,92,0.25,18750
834211,92,0.25,31250
167896,31,0.29,29870
862278,31,0.25,18750
285737,92,0.17,14166
508270,31,0.4,30000
857917,31,0.5,47500
198570,62,0.17,8467
1038423,92,0.33,28333
596867,92,0.2,15000
887562,92,0.25,17500
633034,62,0.25,18750
881497,31,0.5,42500
981900,92,0.25,26250
466038,31,0.4,30000
667564,31,0.5,37500
847823,31,0.25,18750
531395,92,0.2,17000
766826,31,0.25,21250
553713,45,0.2,8950
805233,62,0.25,23750
484545,69,0.2,3266
931330,62,0.25,18750
585778,92,0.2,28636
150613,31,0.14,10714
870401,92,0.25,18750
1006307,31,0.25,18750
608259,31,0.2,17000
291623,92,0.17,17500
523264,31,0.2,19000
819802,62,0.25,23750
657268,31,0.25,18750
532615,31,0.4,34000
852287,92,0.25,18750
765723,92,0.25,21250
276132,62,0.17,19166
453631,31,0.4,30000
810205,62,0.25,18750
1017596,62,0.25,33750
218891,62,0.17,20833
547386,31,0.4,30000
698272,31,0.5,42500
939145,62,0.25,26250
983585,31,0.25,23750
599627,31,0.4,30000
786434,31,0.25,26250
1002211,31,0.25,18750
228130,31,0.17,12500
217926,31,0.17,12500
670503,62,0.25,18750
473595,92,0.2,15000
705441,31,0.25,23750
842128,31,0.25,26250
1032905,62,0.25,18750
1045141,62,0.33,25000
708070,62,0.25,18750
285217,31,0.33,28333
451637,31,0.2,6000
378675,31,0.2,14000
762389,62,0.25,26250
775710,31,0.25,18750
915518,31,0.25,23750
741827,62,0.25,17500
1024516,62,0.25,18750
918548,31,0.5,47500
576784,31,0.2,19000
222883,31,0.33,25000
730019,62,0.25,39772
984533,31,0.25,22500
1005344,62,0.25,28750
681129,62,0.25,23750
506193,92,0.2,17000
495193,31,0.2,15000
588135,31,0.2,17000
729611,62,0.25,21250
190765,31,0.17,20833
836846,31,0.5,57500
873061,31,0.25,18750
933451,62,0.5,59545
635980,92,0.25,17500
562831,31,0.4,30000
109044,92,0.14,12142
379444,31,0.2,15000
465213,92,0.2,15000
794372,92,0.25,31250
571975,31,0.2,19000
642794,31,0.25,23750
622267,92,0.25,18750
1014933,31,0.25,23750
177832,31,0.14,12142
859913,62,0.25,23750
515165,92,0.2,19000
772014,92,0.25,35795
823161,31,0.25,18750
599803,92,0.2,19000
516466,31,0.2,19000
581559,92,0.2,23000
443339,31,0.2,17000
392158,62,0.2,31818
1002690,92,0.25,16250
472316,92,0.2,21000
687095,62,0.25,23750
705212,31,0.25,18750
973015,31,0.5,37500
447704,92,0.2,15000
983189,31,0.25,18750
411671,62,0.2,14000
478084,92,0.2,15000
619066,92,0.25,23750
471275,62,0.2,15000
873699,92,0.25,23750
1016578,31,0.25,18750
715830,92,0.25,22500
966460,92,0.25,18750
440160,31,0.2,31818
617965,83,0.25,12250
201959,62,0.17,14166
1030030,31,0.25,17500
439205,92,0.2,17000
488042,31,0.4,36000
806020,92,0.25,18750
752466,62,0.25,26250
1035586,62,0.25,22500
911113,92,0.25,18750
226533,31,0.33,28333
625855,31,0.25,23750
546715,92,0.2,19000
688311,62,0.25,23750
777999,92,0.25,20000
458274,31,0.4,46000
839979,62,0.25,23750
228331,31,0.17,14166
929935,31,0.25,18750
1022133,92,0.25,18750
686236,92,0.25,23750
174787,31,0.14,12142
564897,31,0.4,30000
813947,31,0.25,18750
1031419,92,0.25,17500
1033862,92,0.25,18750
165434,31,0.14,15000
824150,92,0.25,23750
173406,92,0.14,12142
605829,62,0.2,23000
583710,92,0.2,15000
803856,92,0.25,26250
909857,31,0.5,47500
591476,31,0.2,19000
805106,31,0.25,21250
823679,92,0.25,18750
250011,62,0.17,26515
343413,92,0.17,14166
780272,62,0.25,20000
653006,92,0.25,28750
814075,92,0.25,26250
512385,92,0.2,19000
760859,92,0.25,15000
809536,31,0.25,18750
352810,92,0.17,14166
670556,92,0.25,18750
320915,31,0.33,31666
634145,62,0.25,23750
673857,62,0.25,18750
992680,31,0.25,17500
774361,31,0.25,21250
944903,31,0.25,17500
655160,92,0.25,18750
762937,62,0.25,18750
1010650,31,0.25,23750
668043,31,0.5,37500
401584,62,0.2,14000
650446,31,0.25,18750
332903,62,0.17,17500
797746,31,0.5,37500
1024772,31,0.25,21250
910814,62,0.25,18750
541742,31,0.2,15000
610271,31,0.25,23750
363506,31,0.4,34000
335978,31,0.17,17500
245157,62,0.17,12500
711148,92,0.25,26250
905592,92,0.25,18750
816297,92,0.25,36250
644681,62,0.25,22500
563823,92,0.2,19000
688859,62,0.25,23750
967583,31,0.5,37500
873404,92,0.25,26250
980262,92,0.25,23750
332234,31,0.17,14166
896527,92,0.25,23750
283260,62,0.33,23763
805865,31,0.25,23750
746854,92,0.25,17500
236306,92,0.17,20833
937487,92,0.25,18750
395531,31,0.4,38000
828742,31,0.5,47500
905051,31,0.25,23750
530805,31,0.2,12000
789550,31,0.25,21250
1029813,92,0.25,23750
920518,92,0.25,18750
515679,31,0.4,23709
281234,92,0.17,14166
528470,92,0.2,15000
567453,92,0.2,15000
718888,62,0.25,18750
1000451,62,0.25,18750
919445,92,0.25,23750
